Title,Memory,Display,Camera,Battery,Processor,Selling_price,Cost_price,Rating,Discount
Realme C2 (Diamond Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,6999,8999,4.3,22% off
Realme 5 Pro (Crystal Green| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,14999,17999,4.5,16% off
I Kall K65,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1399,1999,3.3,30% off
Samsung Galaxy S10 Lite (Prism Black| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,48MP + 12MP + 5MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 855 (SM8150) Processor,39999,43999,4.6,9% off
Samsung Galaxy S10 Lite (Prism White| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,48MP + 12MP + 5MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 855 (SM8150) Processor,39999,43999,4.6,9% off
Samsung Galaxy S10 Lite (Prism Blue| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,48MP + 12MP + 5MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 855 (SM8150) Processor,39999,43999,4.6,9% off
Infinix S5 Lite (Violet| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,16MP + 2MP + Low Light Sensor | 16MP Front Camera,4000 mAh Li-ion Polymer Battery,Helio P22 (MTK6762) Processor,7999,9999,4.3,20% off
Infinix S5 Lite (Quetzal Cyan| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,16MP + 2MP + Low Light Sensor | 16MP Front Camera,4000 mAh Li-ion Polymer Battery,Helio P22 (MTK6762) Processor,7999,9999,4.3,20% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Realme X2 (Pearl Blue| 128 GB)|,8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,19999,20999,4.5,4% off
Vivo U10 (Electric Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 665 AIE Processor,10990,13990,4.4,21% off
Lava A1,24 MB RAM | 24 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,0.3MP Rear Camera,800 mAh Battery,,745,999,4.2,25% off
I Kall K900 (Sky Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Realme 3 (Dynamic Black| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,8999,12999,4.4,30% off
Realme 3 (Dynamic Black| 64 GB)|,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,7999,11999,4.4,33% off
Vivo Z1x (Phantom Purple| 128 GB)|,8 GB RAM | 128 GB ROM |,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,17990,24990,4.5,28% off
Vivo Z1x (Fusion Blue| 128 GB)|,8 GB RAM | 128 GB ROM |,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,17990,24990,4.5,28% off
Redmi 8A (Sunset Red| 32 GB)|,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,6499,7999,4.4,18% off
I Kall K65,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1399,1999,3.3,30% off
I Kall K43,32 MB RAM | 64 MB ROM |,4.57 cm (1.8 inch) Display,,800 mAh Battery,,399,899,4.4,55% off
I Kall K43,32 MB RAM | 64 MB ROM |,4.57 cm (1.8 inch) Display,,800 mAh Battery,,399,899,4.4,55% off
Redmi Note 8 (Space Black| 128 GB)|,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,13553,15999,4.4,15% off
I Kall K110 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Display,5MP Rear Camera,2500 mAh Battery,,2999,6999,3.9,57% off
Redmi Note 8 (Moonlight White| 64 GB)|,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,11879,12999,4.4,8% off
Redmi Note 7S (Onyx Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,8999,11999,4.4,25% off
OPPO A7 (Glaring Gold| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 16MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,9990,18990,4.4,47% off
OPPO A7 (Glaze Blue| 64 GB)|,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 16MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,12990,16990,4.3,23% off
Redmi Note 8 Pro (Halo White| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,,4500 mAh Battery,,18533,18999,4.5,2% off
Apple iPhone 8 (Space Grey| 64 GB)|,64 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor|,36999,39900,4.5,7% off
Micromax X412,32 MB RAM | 32 MB ROM |,4.5 cm (1.77 inch) Display,1MP Rear Camera,800 mAh Battery,,682,999,3.9,31% off
OPPO F11 Pro (Thunder Black| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,Pop-up Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,15990,28990,4.4,44% off
Samsung Galaxy M30s (Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD Display,48MP Rear Camera | 16MP Front Camera,6000 mAh Battery,Exynos 9611 Processor,14512,15500,4.3,6% off
