Title,Memory,Display,Camera,Battery,Processor,Selling_price,Cost_price,Rating,Discount
Gfive U707,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,,619,899,3.6,31% off
Samsung Galaxy A51 (Prism Crush Black| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,23999,25999,4.5,7% off
Apple iPhone 11 (Red| 64 GB)|,64 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,64900,64900,4.7,
I Kall K900 (Dark Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Kechaoda K66 Plus,32 MB RAM | 32 MB ROM |,4.5 cm (1.77 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery,,880,935,4.1,5% off
Karbonn Kx23,20 MB RAM | 32 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1900 mAh Battery,,999,1468,3.7,31% off
itel it5617,32 MB RAM | 32 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,,1199,1599,4.3,25% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Micromax X1i-2017,32 MB ROM | Expandable Upto 8 GB,6.1 cm (2.4 inch) QVGA Display,0.8MP Rear Camera,1300 mAh Battery,,885,885,3.8,
Micromax Flash X910,56 MB RAM | 40 KB ROM |,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,4000 mAh Battery,,1355,2349,3.7,42% off
I Kall K18 New,32 MB RAM | 64 MB ROM |,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,800 mAh Battery,,599,599,3.7,
Apple iPhone XR (Black| 64 GB)|,64 GB ROM |,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,,A12 Bionic Chip Processor,49900,49900,4.6,
Redmi K20 Pro (Flame Red| 128 GB)|,6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,24999,28999,4.5,13% off
I Kall K900 (Sky Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Realme X2 Pro (Neptune Blue| 256 GB)|,12 GB RAM | 256 GB ROM |,90 Hz Ultra Smooth Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,33999,35999,4.6,5% off
Realme X2 Pro (Neptune Blue| 128 GB)|,8 GB RAM | 128 GB ROM |,90 Hz Ultra Smooth Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,29999,31999,4.6,6% off
Lenovo K9 (Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 5MP | 13MP + 5MP Dual Front Camera,3000 mAh Battery,MediaTek P22 Processor,5999,9999,4.1,40% off
I Kall K65,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1399,1999,3.3,30% off
Apple iPhone XR (White| 128 GB)|,128 GB ROM |,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,,A12 Bionic Chip Processor,54900,54900,4.6,
Kechaoda A26,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) Display,,800 mAh Battery,,845,1399,4.1,39% off
Itel It2171,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,1000 mAh Battery,,780,1095,4.1,28% off
Karbonn K9 SPY,6.1 cm (2.4 inch) QVGA Display,6.1 cm (2.4 inch) QVGA Display,1.3MP Rear Camera,1750 mAh Battery,,1049,1390,3.9,24% off
Lava One,32 MB RAM | 25 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1000 mAh Battery,NA Processor,1149,1149,4.1,
I Kall K110 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Display,5MP Rear Camera,2500 mAh Battery,,2999,6999,3.9,57% off
Tecno Camon i4 (Champagne Gold| 32 GB)|,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,,6999,11499,4.1,39% off
Lava One,32 MB RAM | 32 MB ROM |,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1000 mAh Battery,,1149,1600,4.1,28% off
Micromax X516,32 MB RAM | 32 MB ROM |,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,1750 mAh Battery,,759,1999,4,62% off
I Kall K900 (Dark Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Karbonn K140 Pop,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,719,719,3.8,
Itel It 5605n,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,2500 mAh Battery,,989,1225,4.1,19% off
Micromax X930,20 MB RAM | 20 MB ROM |,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,3000 mAh Battery,,1395,1999,4,30% off
Micromax X930,20 MB RAM | 20 MB ROM |,7.11 cm (2.8 inch) Display,0.2MP Rear Camera,3000 mAh Battery,,1411,1999,4,29% off
Infinix Smart 2 (Serene Gold| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3050 mAh Li-ion Polymer Battery,MTK6739 64 bit Quad Core Processor,4499,7999,4,43% off
Samsung Galaxy S9 (Midnight Black| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Exynos 9810 Processor,26999,62500,4.4,56% off
Lava Hero 600,32 MB RAM | 0 KB ROM |,4.57 cm (1.8 inch) Display,,600 mAh Battery,,621,699,3.8,11% off
Samsung GALAXY A50 (White| 64 GB)|,6 GB RAM | 64 GB ROM |,20.83 cm (8.2 inch) Display,25MP Rear Camera,4000 mAh Battery,,17999,24000,4.4,25% off
OPPO A3s (Red| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,9990,13990,4.3,28% off
Nokia 105,32 MB ROM |,3.56 cm (1.4 inch) Display,,850 mAh Li-Ion Battery,,1097,1299,4,15% off
Asus ZenFone Max M2 (Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,15.9 cm (6.26 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Octa Core Processor,7499,12999,4.3,42% off
Mymax M32 Combo of Two Mobiles,32 MB RAM | 32 MB ROM |,4.57 cm (1.8 inch) Display,1.3MP Rear Camera,1000 mAh Battery,,999,999,3.8,
Google Pixel 3a (Just Black| 64 GB)|,4 GB RAM | 64 GB ROM |,14.22 cm (5.6 inch) Full HD+ Display,12.2MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 670 Processor,30999,39999,4.5,22% off
Honor 9N (Midnight Black| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,8499,15999,4.3,46% off
OPPO A9 2020 (Vanilla Mint| 128 GB)|,8 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,18484,21990,4.3,15% off
Micromax X380,32 MB RAM | 32 MB ROM |,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,2500 mAh Battery,,790,1499,3.9,47% off
I Kall K29,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1800 mAh Battery,,599,599,3.8,
I Kall K6303,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1800 mAh Battery,,649,999,3.7,35% off
Gfive U873 Combo of Two,32 MB RAM | 32 MB ROM |,4.57 cm (1.8 inch) Display,1.3MP Rear Camera,1000 mAh Battery,,1099,1099,3.9,
Gfive U229,32 MB RAM | 32 MB ROM |,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,555,1099,3.7,49% off
Samsung Galaxy S9 Plus (Midnight Black| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 400 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP + 12MP | 8MP Front Camera,3500 mAh Battery,Exynos 9810 Processor,29999,70000,4.5,57% off
I Kall K3312 Combo,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1199,1199,3.5,
OPPO A9 2020 (Space Purple| 128 GB)|,4 GB RAM | 128 GB ROM |,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,15990,18990,4.3,15% off
I Kall K50,32 MB RAM | 64 MB ROM |,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,2000 Mah Battery,,649,1299,3.8,50% off
I Kall K 54,32 MB RAM | 64 MB ROM |,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,649,1099,,40% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Lava One,32 MB RAM | 25 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1000 mAh Battery,,1149,1149,4.1,
Kechaoda K10,32 MB RAM | 32 MB ROM |,1.68 cm (0.66 inch) NA Display,0.2MP Rear Camera,300 mAh Battery,,825,825,4,
OPPO Reno2 Z (Luminous Black| 256 GB)|,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,MediaTek Helio P90 SoC Processor,25990,32990,4.5,21% off
I Kall K900 (Sky Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Karbonn KX27,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.08MP Rear Camera,1750 mAh Battery,,949,1390,,31% off
OPPO K1 (Astral Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,AMOLED Display,16MP + 2MP | 25MP Front Camera,3600 mAh Battery,Qualcomm Snapdragon 660 Octa Core 1.95 GHz Processor,13990,18990,4.4,26% off
Samsung Galaxy J6 (Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.22 cm (5.6 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Exynos 7870 Processor,10490,11500,4.4,8% off
Karbonn KX21,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,848,848,3.9,
Kechaoda K66 Plus,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,400 mAh Battery,,898,898,4.1,
I Kall K65,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1399,1999,3.3,30% off
Realme 3 Pro (Lightning Purple| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,11999,17999,4.5,33% off
Realme 3 Pro (Nitro Blue| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,12999,19999,4.5,35% off
Gfive U220+,32 MB RAM |,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,555,555,3.4,
I Kall K110 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Display,5MP Rear Camera,2500 mAh Battery,,2999,6999,3.9,57% off
Realme 3 Pro (Lightning Purple| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 25MP Front Camera,4045 mAh Battery,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,12999,19999,4.5,35% off
Lava Gem Wave,32 MB RAM | 32 MB ROM |,7.11 cm (2.8 inch) Display,1.3MP Rear Camera,1750 mAh Battery,,1399,1899,4.2,26% off
Asus ZenFone 5Z (Midnight Blue| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,15.75 cm (6.2 inch) Full HD+ Display,12MP + 8MP | 8MP Front Camera,3300 mAh Battery,Qualcomm Snapdragon 845 Octa Core Processor,16999,32999,4.5,48% off
Samsung Galaxy S9 Plus (Coral Blue| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 400 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP + 12MP | 8MP Front Camera,3500 mAh Battery,Exynos 9810 Processor,29999,70000,4.5,57% off
Realme X2 Pro (Concrete| 256 GB)|,12 GB RAM | 256 GB ROM |,90 Hz Ultra Smooth Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,34999,35999,4.6,2% off
I Kall K900 (Dark Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Realme X2 Pro (Lunar White| 64 GB)|,6 GB RAM | 64 GB ROM |,90 Hz Ultra Smooth Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,27999,29999,4.5,6% off
Samsung Galaxy S10e (Prism White| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,14.73 cm (5.8 inch) Full HD+ Display,16MP + 12MP | 10MP Front Camera,3100 mAh Lithium-ion Battery,Exynos 9 9820 Processor,47990,59000,4.5,18% off
Apple iPhone XR ((PRODUCT)RED| 64 GB)|,64 GB ROM |,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,,A12 Bionic Chip Processor,49900,49900,4.6,
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Redmi K20 Pro (Carbon Black| 128 GB)|,6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,24999,28999,4.5,13% off
Kechaoda K28,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1700 mAh Battery,,999,1299,4,23% off
Google Pixel 3a (Clearly White| 64 GB)|,4 GB RAM | 64 GB ROM |,14.22 cm (5.6 inch) Full HD+ Display,12.2MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 670 Processor,30999,39999,4.5,22% off
Nokia 105,4 MB RAM | 4 MB ROM |,4.57 cm (1.8 inch) Quarter QVGA Display,,800 mAh3 Li-ion Battery,,1325,1499,4.2,11% off
Karbonn K9 Mini,32 MB RAM | 32 MB ROM |,4.5 cm (1.77 inch) Display,0.08MP Rear Camera,800 mAh Battery,,699,990,3.8,29% off
I Kall K900 (Sky Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
LG W30 (Thunder Blue| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 13MP | 16MP Front Camera,4000 mAh Battery,Helio P22 Processor,8989,10999,3.8,18% off
Kechaoda K115,32 MB RAM | 32 MB ROM |,3.66 cm (1.44 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery,,850,1399,4.1,39% off
Kechaoda K115,32 MB RAM | 32 MB ROM |,3.56 cm (1.4 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery,,800,810,4.1,1% off
I Kall K65,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1399,1999,3.3,30% off
Lava A7,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1750 mAh Battery,MTK6261M Processor,1290,1699,4.2,24% off
Panasonic Eluga Ray 610 (Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4010 mAh Battery,MediaTek Helio P22 Octa Core Processor,6499,14990,4.6,56% off
Kechaoda A26,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) Display,,800 mAh Battery,,845,845,4.1,
Honor 9 Lite (Midnight Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.35 cm (5.65 inch) Full HD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,3000 mAh Battery,Kirin 659 Processor,7999,13999,4.3,42% off
Kechaoda K-9,64 MB RAM | 64 MB ROM |,5.59 cm (2.2 inch) Display,0.3MP Rear Camera,2000 mAh Battery,,999,999,3.9,
I Kall K110 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Display,5MP Rear Camera,2500 mAh Battery,,2999,6999,3.9,57% off
Samsung Galaxy A50 (Black| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Super AMOLED Display,25MP + 5MP + 8MP | 25MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9610 Processor,17999,24000,4.4,25% off
Itel IT 2163,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,,1000 mAh Battery,,799,979,4,18% off
Redmi K20 Pro (Pearl White| 128 GB)|,6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,24999,28999,4.5,13% off
I Kall K900 (Dark Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
GAMMA K2 Nano,32 MB RAM | 32 MB ROM |,2.87 cm (1.13 inch) QVGA Display,2MP Rear Camera,1000 mAh Battery,,999,1499,4,33% off
Micromax Bharat 5 Infinity Edition (Rose Gold| 16 GB)|,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.84 cm (5.45 inch) Display,5MP Rear Camera | 5MP Front Camera,5000 mAh Polymer Battery,MT6739 Processor,6999,6999,3.9,
Redmi 5 (Lake Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.48 cm (5.7 inch) HD Display,12MP Rear Camera | 5MP Front Camera,3300 mAh Battery,,8299,11999,4.3,30% off
I Kall K 30,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,649,1299,,50% off
Blackbear A1 Pen Phone,64 MB RAM | 32 MB ROM | Expandable Upto 16 MB,1.7 cm (0.67 inch) VGA Display,1.3MP Rear Camera,550 mAh Battery,,1799,2999,3.9,40% off
Samsung Galaxy A70 (Black| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,32MP + 5MP + 8MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragron 675 Processor,22990,30900,4.4,25% off
OPPO A83 (2018 Edition) (Champagne| 64 GB)|,4 GB RAM | 64 GB ROM |,14.48 cm (5.7 inch) Display,13MP Rear Camera | 8MP Front Camera,3180 mAh Battery,MT6763T Processor,13990,13990,4.3,
Karbonn K451 Power,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) Display,0.08MP Rear Camera,3000 mAh Battery,,1099,1189,3.8,7% off
Gionee F9 Plus (Blue| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.9 cm (6.26 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4050 mAh Battery,Spreadtrum Processor,6999,9490,4.1,26% off
Samsung Galaxy M30 (Blue| 32 GB)|,3 GB RAM | 32 GB ROM |,16.26 cm (6.4 inch) Display,13MP Rear Camera,5000 mAh Battery,,10975,11000,4.4,
I Kall K72,32 MB RAM | 64 MB ROM |,4.57 cm (1.8 inch) Display,,800 mAh Battery,,399,699,3.5,42% off
Lava Spark i8,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) QVGA Display,1.3MP Rear Camera,1200 mAh Battery,,1479,1489,4.1,
Blackbear B5 Nex,64 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,1.8MP Rear Camera,1050 mAh Battery,,749,899,4,16% off
Blackbear B5 Nex,64 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,1.8MP Rear Camera,1050 mAh Battery,,749,899,4,16% off
Micromax X748,32 MB RAM | 32 MB ROM |,6.1 cm (2.4 inch) Display,0.1MP Rear Camera,2500 mAh Battery,,1304,2499,3.8,47% off
Motorola One Vision (Bronze Gradient| 128 GB)|,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 25MP Front Camera,3500 mAh Battery,Samsung Exynos 9609 Processor,13999,22999,4.1,39% off
Vivo Y95 (Nebula Purple| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 20MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 439 Processor,12890,18990,4.4,32% off
Realme C2 (Diamond Black| 16 GB)|,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,5999,6999,4.4,14% off
Apple iPhone XR ((PRODUCT)RED| 128 GB)|,128 GB ROM |,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,,A12 Bionic Chip Processor,54900,54900,4.6,
OPPO A9 2020 (Vanilla Mint| 128 GB)|,4 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,15990,18990,4.3,15% off
OPPO A9 2020 (Marine Green| 128 GB)|,4 GB RAM | 128 GB ROM |,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,15990,18990,4.3,15% off
Samsung Galaxy A30s (Prism Crush Violet| 64 GB)|,4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) HD+ Display,25MP + 5MP + 8MP | 16MP Front Camera,4000 mAh Li-ion Battery,Exynos 7904 Processor,14999,18900,4.3,20% off
Micromax X421,32 MB RAM | 32 MB ROM |,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,1800 mAh Battery,,865,1799,3.3,51% off
Tecno Spark Go Plus (Hillier Purple| 32 GB)|,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,4000 mAh Li-ion Battery,Helio A22 (MT6761) Processor,6299,7499,4.3,16% off
Karbonn K-Pebble,12 MB RAM | 12 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,800 mAh Battery,,1299,1690,3.9,23% off
Karbonn KX25,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.08MP Rear Camera,1800 mAh Battery,,949,1390,4.8,31% off
GAMMA K1 Nano,32 MB RAM | 32 MB ROM |,3.56 cm (1.4 inch) Display,0.1MP Rear Camera,1000 mAh Battery,,899,1499,3.2,40% off
GAMMA K1 Nano,32 MB RAM | 32 MB ROM |,3.56 cm (1.4 inch) Display,0.1MP Rear Camera,1000 mAh Battery,,899,1499,3.2,40% off
GAMMA K1 Nano,32 MB RAM | 32 MB ROM |,3.56 cm (1.4 inch) Display,0.1MP Rear Camera,1000 mAh Battery,,899,1499,3.2,40% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Apple iPhone 7 (Gold| 128 GB)|,128 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,,39900,49900,4.5,20% off
Apple iPhone 7 (Gold| 32 GB)|,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,,39899,39899,4.5,
Realme 2 (Diamond Black| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Li-ion Battery,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,9290,11990,4.4,22% off
Samsung Galaxy S9 (Coral Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Exynos 9810 Processor,26999,62500,4.4,56% off
Kechaoda A26,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) Display,,800 mAh Battery,,843,845,4.1,
